time,oceans,climate,toxics,justice and democracy,drilling,transportation,energy,public lands,lands,appropriations,other,forests,wildlife,environmental justice,judiciary,air,public right to know,water
2007,0.0,0.3001387925052047,0.1500115660421004,0.0,0.15012722646310434,0.04996530187369882,0.40053203793661807,0.0,0.2997918112421929,0.0,0.09993060374739764,0.2997918112421929,0.14989590562109645,0.0,0.0,0.04996530187369882,0.1500115660421004,0.050080962294702755
2008,0.0,0.0,0.0,0.0,0.1543528573971871,0.07726544418728859,0.616165212747018,0.0,0.38383478725298203,0.0,0.1543528573971871,0.38383478725298203,0.1538187644650169,0.0,0.0,0.0,0.0,0.07673135125511839
2009,0.07146393794355504,0.21472190130384552,0.07162898168014524,0.0,0.0,0.07146393794355504,0.3576497771909556,0.0,0.1422677009407493,0.0,0.21406172635748474,0.1422677009407493,0.35665951477141444,0.0,0.0,0.0,0.07162898168014524,0.3569896022445948
2010,0.2992582290217895,0.3998609179415855,0.0,0.0,0.2005099675475197,0.0,0.3006490496059342,0.0,0.2005099675475197,0.0,0.0,0.2005099675475197,0.09967547519703292,0.0,0.0,0.10060268891979601,0.0,0.3991655076495132
2011,0.0,0.1142913933611608,0.02855628437023786,0.0,0.11409262572053269,0.0,0.28536407606175046,0.0,0.22864904260253097,0.0,0.20015901411250248,0.22864904260253097,0.17140396210163653,0.0,0.0,0.20015901411250248,0.02855628437023786,0.3428741800834824
2012,0.057139069335808035,0.1712846347607053,0.05700649608908922,0.0,0.14317910645631712,0.08577489062707146,0.400106058597375,0.0,0.37133766405939284,0.0,0.11427813867161607,0.37133766405939284,0.20018560254540635,0.0,0.0,0.11414556542489726,0.05700649608908922,0.3714039506827522
2013,0.1071575992735078,0.17840336828201106,0.035829274333360854,0.0,0.14273920581193758,0.0,0.4290431767522496,0.0,0.3568067365640221,0.0,0.3214727978205234,0.3568067365640221,0.14306942953851234,0.0,0.0,0.03574671840171716,0.035829274333360854,0.3933790142821762
2014,0.0285960150923413,0.25690077447540877,0.08605282319454557,0.0,0.0571920301846826,0.028529820612960877,0.285960150923413,0.0,0.1712451181571457,0.0,0.17144370159528696,0.1712451181571457,0.05712583570530218,0.0,0.0,0.0857880452770239,0.08605282319454557,0.17137750711590655
2015,0.05709947851343323,0.14297973463594957,0.057165489471252225,0.0,0.0,0.0,0.22839791405373291,0.0,0.11433097894250445,0.0,0.20021123506502078,0.11433097894250445,0.08568222324905934,0.0,0.0,0.028582744735626112,0.057165489471252225,0.1425836688890356
2016,0.10527918163551117,0.13158375449065335,0.07885282835048407,0.0,0.13158375449065335,0.0,0.31577665469159105,0.0,0.23692382634110698,0.0,0.157949217560738,0.23692382634110698,0.18425379041588016,0.0,0.0,0.07891371856542653,0.07885282835048407,0.1841929002009377
2017,0.057173107464266806,0.17151932239280043,0.08562731604023292,0.0,0.11441238750661725,0.0,0.25741132874536793,0.0,0.28573319216516674,0.0,0.3141874007411329,0.28573319216516674,0.05704076230809953,0.0,0.0,0.057173107464266806,0.08562731604023292,0.19984118581259927
2018,0.11414060411654638,0.25735097567495324,0.0,0.0,0.028601978080727078,0.0,0.08567228013900027,0.0,0.08560545308740979,0.0,0.14307671745522588,0.08560545308740979,0.1714782143811815,0.05707030205827319,0.0,0.17161186848436247,0.0,0.17134456027800055
2019,0.17215795771838852,0.34543278819305945,0.06956521739130435,0.06860789788591942,0.2412445153570004,0.0,0.3094535301156761,0.0,0.3092939768647786,0.0,0.17175907459114478,0.3092939768647786,0.20765855604307937,0.0,0.0,0.06956521739130435,0.06956521739130435,0.06964499401675309
2020,0.04765078307230923,0.1429523492169277,0.09507941797178718,0.09563478840386538,0.04765078307230923,0.047872931245140506,0.23836498944796178,0.04765078307230923,0.14250805287126514,0.0,0.28579362434743977,0.19015883594357436,0.04765078307230923,0.23858713762079306,0.047872931245140506,0.09530156614461846,0.09507941797178718,0.33344440741974896
2021,0.0,0.3480327703044402,0.08678062101749773,0.47810255891574793,0.043896025083442904,0.1743703853545059,0.2178618387781936,0.17487609992919995,0.04328916759381005,0.0,0.30535046020026296,0.21816526752301002,0.08667947810255891,0.2182664104379488,0.0,0.1313846465055123,0.08678062101749773,0.2614544351168201
2022,0.0,0.3902281809978084,0.05543380172747196,0.2226376176356839,0.0553048859095011,0.0,0.38971251772592497,0.166172489364445,0.1102230243650896,0.0,0.2783292509990976,0.27639551372953464,0.0549181384555885,0.4446306561815135,0.0,0.3338919685445404,0.05543380172747196,0.2783292509990976
2023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
